WARN   | wrapper  | 2013/05/05 23:50:48 | Unable to write to the configured log directory: /Users/fly/develop/elasticsearch-0.90.0/logs (No such file or directory)
WARN   | wrapper  | 2013/05/05 23:50:48 |   The directory does not exist.
WARN   | wrapper  | 2013/05/05 23:50:48 | Unable to write to the configured log file: /Users/fly/develop/elasticsearch-0.90.0/logs/service.log (No such file or directory)
WARN   | wrapper  | 2013/05/05 23:50:48 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2013/05/05 23:50:48 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/05/05 23:50:48 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2013/05/05 23:50:48 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/05/05 23:50:48 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/05/05 23:50:48 | 
STATUS | wrapper  | 2013/05/05 23:50:49 | Launching a JVM...
INFO   | jvm 1    | 2013/05/05 23:50:49 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/05/05 23:50:49 | log4j:ERROR setFile(null,true) call failed.
INFO   | jvm 1    | 2013/05/05 23:50:49 | java.io.FileNotFoundException: /Users/fly/log/elasticsearch/elasticsearch.log (Permission denied)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at java.io.FileOutputStream.openAppend(Native Method)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at java.io.FileOutputStream.<init>(FileOutputStream.java:192)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at java.io.FileOutputStream.<init>(FileOutputStream.java:116)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at org.apache.log4j.FileAppender.setFile(FileAppender.java:294)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at org.apache.log4j.FileAppender.activateOptions(FileAppender.java:165)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at org.apache.log4j.DailyRollingFileAppender.activateOptions(DailyRollingFileAppender.java:223)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at org.apache.log4j.config.PropertySetter.activate(PropertySetter.java:307)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at org.apache.log4j.config.PropertySetter.setProperties(PropertySetter.java:172)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at org.apache.log4j.config.PropertySetter.setProperties(PropertySetter.java:104)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at org.apache.log4j.PropertyConfigurator.parseAppender(PropertyConfigurator.java:842)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at org.apache.log4j.PropertyConfigurator.parseCategory(PropertyConfigurator.java:768)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at org.apache.log4j.PropertyConfigurator.configureRootCategory(PropertyConfigurator.java:648)
